,URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code),no2_µg/m3,pm25_µg/m3,no2_x,no2_y,pm_x,pm_y
34661,135242,213,Westminster,6907.0,Ark King Solomon Academy,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,01-09-2007,0,Not applicable,,7,All through,3.0,18.0,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,6,None,None,0000,Not applicable,4,Non-selective,900.0,2,No Special Classes,17-01-2019,893.0,469.0,424.0,38.0,3,Supported by a multi-academy trust,2157.0,ARK SCHOOLS,Linked to a sponsor,ARK Schools,Not applicable,,,10021088.0,,Not applicable,15-05-2013,0,Not applicable,11-07-2019,Penfold Street,,,London,,NW1 6RU,www.kingsolomonacademy.org,2075636900.0,Mr,Max,Haimendorf,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,H,London,E09000033,Westminster,E05000634,Church Street,E14001036,Westminster North,A1,Urban major conurbation,E09000033,527124.0,181914.0,,Westminster 009,Westminster 009J,,,,,,999,,,Outstanding,North-West London and South-Central England,United Kingdom,100023072488.0,,E02000968,E01033604,44.6413,14.749329999999999,527120.0,181920.0,527120.0,181920.0
34679,135261,313,Hounslow,3941.0,The Rosary Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-09-2007,0,Not applicable,,2,Primary,3.0,11.0,0,Not applicable,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC01,Archdiocese of Westminster,0,Not applicable,472.0,0,Not applicable,17-01-2019,437.0,234.0,203.0,13.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10079163.0,,Not applicable,26-06-2018,0,Not applicable,11-07-2019,10 The Green,Heston,,Hounslow,Middlesex,TW5 0RL,www.rosary.hounslow.sch.uk/,2085704942.0,Miss,Fiona,Bass,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000018,Hounslow,E05000356,Heston East,E14000701,Feltham and Heston,A1,Urban major conurbation,E09000018,513081.0,177758.0,,Hounslow 004,Hounslow 004C,,,,,,999,,,Good,North-West London and South-Central England,,100023405204.0,,E02000529,E01002626,35.52669,12.80234,513080.0,177760.0,513080.0,177760.0
34682,135264,209,Lewisham,6907.0,St Matthew Academy,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,01-09-2007,0,Not applicable,,7,All through,3.0,16.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,3,Roman Catholic,None,RC19,Archdiocese of Southwark,4,Non-selective,1650.0,0,Not applicable,17-01-2019,945.0,482.0,463.0,22.3,5,Supported by a single-academy trust,4760.0,ST MATTHEW ACADEMY,Linked to a sponsor,Archdiocese of Southwark,Not applicable,,,10021091.0,,Not applicable,20-06-2017,0,Not applicable,11-07-2019,St Joseph's Vale,,Blackheath,London,,SE3 0XX,,2088536250.0,Ms,Miranda,Baldwin,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000438,Blackheath,E14000787,Lewisham East,A1,Urban major conurbation,E09000023,539032.0,175812.0,,Lewisham 007,Lewisham 007A,,,,,,999,,,Requires improvement,South-East England and South London,,10023231384.0,,E02000659,E01003199,34.911,13.15114,539040.0,175820.0,539040.0,175820.0
34692,135277,212,Wandsworth,6411.0,L'Ecole de Battersea,11,Other independent school,3,Independent schools,1,Open,6,New Provision,31-05-2007,0,Not applicable,,0,Not applicable,3.0,12.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,0,Not applicable,290.0,2,No Special Classes,18-01-2018,255.0,126.0,129.0,,0,Not applicable,,,Not applicable,,Not applicable,,,10071843.0,,Not applicable,,0,Not applicable,09-07-2019,Trott Street,Battersea,,London,,SW11 3DS,www.lecoledespetits.co.uk,2079243186.0,Ms,F,Brisset,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000032,Wandsworth,E05000622,St Mary's Park,E14000549,Battersea,A1,Urban major conurbation,E09000032,527035.0,176522.0,,Wandsworth 004,Wandsworth 004C,Ofsted,0.0,0.0,Does not have boarders,Nicholas Otten,999,,,,South-East England and South London,,100023300936.0,,E02000926,E01004580,39.07413,13.769020000000001,527040.0,176520.0,527040.0,176520.0
34711,135298,304,Brent,6113.0,Maple Walk School,11,Other independent school,3,Independent schools,1,Open,6,New Provision,13-06-2007,0,Not applicable,,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Inter- / non- denominational,0000,Not applicable,0,Not applicable,250.0,2,No Special Classes,17-01-2019,190.0,100.0,90.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10079161.0,,Not applicable,,0,Not applicable,11-07-2019,62a Crownhill Road,,,London,,NW10 4EB,,2089633890.0,Mrs,S,Gillam,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000091,Harlesden,E14000591,Brent Central,A1,Urban major conurbation,E09000005,521723.0,183724.0,,Brent 031,Brent 031A,ISI,1.0,10.0,Does not have boarders,,207,Kensington and Chelsea,6407.0,,North-West London and South-Central England,,202109662.0,,E02000123,E01000523,37.44267,13.40441,521720.0,183720.0,521720.0,183720.0
34791,135379,204,Hackney,6013.0,Christian School of London,11,Other independent school,3,Independent schools,2,Closed,6,New Provision,14-08-2007,2,Closure,20-12-2016,0,Not applicable,3.0,16.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Christian,0000,Not applicable,0,Not applicable,40.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,10022936.0,,Not applicable,,0,Not applicable,09-07-2019,14 Penn Street,,,London,,N1 5DJ,,2077294054.0,Mrs,L,Medina,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000012,Hackney,E05009377,Hoxton East & Shoreditch,E14000721,Hackney South and Shoreditch,A1,Urban major conurbation,E09000012,532908.0,183665.0,,Hackney 025,Hackney 025A,Ofsted,0.0,0.0,,Dr E Ravelo,206,Islington,6384.0,,East of England and North-East London,,,,E02000369,E01001752,41.49074,14.12478,532900.0,183660.0,532900.0,183660.0
34816,135409,210,Southwark,6397.0,London Christian School,11,Other independent school,3,Independent schools,1,Open,6,New Provision,29-08-2007,0,Not applicable,,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,15,Christian,Christian,0000,Not applicable,0,Not applicable,130.0,2,No Special Classes,17-01-2019,122.0,60.0,62.0,0.0,0,Not applicable,,,Not applicable,,Not applicable,,,10079159.0,,Not applicable,,0,Not applicable,11-07-2019,40 Tabard Street,,,London,,SE1 4JU,www.londonchristianschool.com,2031306430.0,Miss,Nicola,Collett-White,,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000537,Chaucer,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532562.0,179654.0,,Southwark 002,Southwark 002E,ISI,0.0,8.0,Does not have boarders,,999,,,,South-East England and South London,,200003367198.0,,E02000808,E01003939,45.25463,14.55701,532560.0,179660.0,532560.0,179660.0
34854,135452,211,Tower Hamlets,6395.0,Excellence Christian School,11,Other independent school,3,Independent schools,2,Closed,6,New Provision,12-11-2007,8,Does not meet criteria for registration,22-11-2017,0,Not applicable,3.0,16.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,0,Not applicable,20.0,2,No Special Classes,19-01-2017,26.0,15.0,15.0,,0,Not applicable,,,Not applicable,,Not applicable,,,10022966.0,,Not applicable,,0,Not applicable,09-07-2019,59-61 Vyner Street,Off Cambridge Heath Road,,London,,E2 9DQ,,7958685176.0,Mrs,Carol,Gbegbaje,,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000030,Tower Hamlets,E05009331,St Peter's,E14000555,Bethnal Green and Bow,A1,Urban major conurbation,E09000030,535013.0,183533.0,,Tower Hamlets 002,Tower Hamlets 002A,Ofsted,0.0,0.0,Does not have boarders,Carol Gbegbaje,999,,,,East of England and North-East London,,,,E02000865,E01004197,40.61235,13.88776,535020.0,183540.0,535020.0,183540.0
34873,135472,317,Redbridge,6078.0,Winston House Preparatory School,11,Other independent school,3,Independent schools,2,Closed,6,New Provision,13-12-2007,2,Closure,19-02-2018,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,0,Not applicable,200.0,0,Not applicable,19-01-2017,11.0,5.0,5.0,,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,,0,Not applicable,09-07-2019,140 High Road,South Woodford,,London,,E18 2QS,,2085056565.0,Mrs,Shirmila,Sharma,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000026,Redbridge,E05000499,Church End,E14000634,Chingford and Woodford Green,A1,Urban major conurbation,E09000026,540129.0,190669.0,,Redbridge 007,Redbridge 007E,Ofsted,0.0,0.0,Does not have boarders,Educational World Ltd,999,,,,East of England and North-East London,,10034922614.0,,E02000757,E01003672,37.50302,13.20495,540120.0,190660.0,540120.0,190660.0
34883,135482,307,Ealing,3512.0,Khalsa Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,6,New Provision,01-09-2009,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,21,Sikh,Does not apply,0000,Not applicable,0,Not applicable,472.0,2,No Special Classes,17-01-2019,450.0,244.0,206.0,15.1,0,Not applicable,,,Not applicable,,Not under a federation,,,10079158.0,,Not applicable,28-06-2018,0,Not applicable,11-07-2019,Norwood Green Road,,,Southall,,UB2 4LA,www.khalsaschool.co.uk,2085749045.0,Ms,Parmjeet,Sehmi,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000009,Ealing,E05000186,Norwood Green,E14000676,"Ealing, Southall",A1,Urban major conurbation,E09000009,513222.0,178601.0,,Ealing 038,Ealing 038B,,,,,,999,,,Good,North-West London and South-Central England,,12172285.0,,E02000275,E01001335,34.84982,12.77989,513220.0,178600.0,513220.0,178600.0
34917,135525,306,Croydon,3418.0,Woodcote Primary School,1,Community school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-09-2008,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,733.0,2,No Special Classes,17-01-2019,752.0,387.0,365.0,10.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10070313.0,,Not applicable,30-04-2015,0,Not applicable,11-07-2019,Dunsfold Rise,,,Coulsdon,Surrey,CR5 2ED,www.woodcoteprimary.croydon.sch.uk,2086609972.0,Mr,Timothy,Rome,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05000151,Coulsdon West,E14000656,Croydon South,A1,Urban major conurbation,E09000008,529730.0,160568.0,,Croydon 038,Croydon 038A,,,,,,999,,,Outstanding,South-East England and South London,,10000104740.0,,E02000231,E01001028,28.01837,12.060139999999999,529740.0,160560.0,529740.0,160560.0
34925,135534,309,Haringey,7008.0,Treehouse School,8,Non-maintained special school,5,Special schools,1,Open,6,New Provision,26-03-2008,0,Not applicable,,0,Not applicable,3.0,19.0,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,100.0,1,Has Special Classes,17-01-2019,85.0,73.0,12.0,41.9,0,Not applicable,,,Not applicable,,Not applicable,,,10016076.0,,Not applicable,28-11-2017,0,Not applicable,11-07-2019,Woodside Avenue,Muswell Hill,,London,,N10 3JA,http://www.treehouseschool.org.uk/,2088155424.0,Ms,Kerry,Sternstein,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,SLD - Severe Learning Difficulty,,,,,,,,,,,,,,,,,H,London,E09000014,Haringey,E05000274,Muswell Hill,E14000752,Hornsey and Wood Green,A1,Urban major conurbation,E09000014,528413.0,189124.0,,Haringey 021,Haringey 021B,,,,,,999,,,Outstanding,East of England and North-East London,,100023143839.0,,E02000417,E01002022,36.17767,13.17433,528420.0,189120.0,528420.0,189120.0
34926,135535,308,Enfield,3508.0,Brimsdown Primary School,1,Community school,4,LA maintained schools,2,Closed,1,Result of Amalgamation,01-09-2008,10,Academy Converter,31-08-2017,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,690.0,2,No Special Classes,19-01-2017,643.0,335.0,310.0,27.4,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14-07-2016,0,Not applicable,17-09-2017,Green Street,,,Enfield,Middlesex,EN3 7NA,www.brimsdown.enfield.sch.uk/,2088046797.0,,Matthew,Kleinner-Mann,,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,HI - Hearing Impairment,,,,,,,,,,,,,Resource Provision,9.0,12.0,,,H,London,E09000010,Enfield,E05000198,Enfield Highway,E14000691,Enfield North,A1,Urban major conurbation,E09000010,536016.0,196954.0,,Enfield 007,Enfield 007E,,,,,,999,,,Good,North-West London and South-Central England,,207038511.0,,E02000283,E01001438,31.214979999999997,12.436760000000001,536020.0,196960.0,536020.0,196960.0
34951,135562,313,Hounslow,3942.0,Orchard Primary School,1,Community school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-09-2008,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,708.0,2,No Special Classes,17-01-2019,692.0,356.0,336.0,14.4,0,Not applicable,,,Not applicable,,Not under a federation,,,10054389.0,,Not applicable,16-01-2018,0,Not applicable,11-07-2019,Orchard Road,,,Hounslow,,TW4 5JW,www.orchardprimary.com/,2085706247.0,Mrs,Christine,Haslam,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,H,London,E09000018,Hounslow,E05000359,Hounslow Heath,E14000593,Brentford and Isleworth,A1,Urban major conurbation,E09000018,513018.0,174913.0,,Hounslow 021,Hounslow 021C,,,,,,999,,,Good,North-West London and South-Central England,,100023518382.0,,E02000546,E01002651,33.53928,12.66062,513020.0,174920.0,513020.0,174920.0
34973,135584,210,Southwark,6912.0,Ark Globe Academy,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,01-09-2008,0,Not applicable,,7,All through,3.0,18.0,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,0,Does not apply,None,0000,Not applicable,4,Non-selective,1645.0,2,No Special Classes,17-01-2019,1243.0,668.0,575.0,43.0,3,Supported by a multi-academy trust,2157.0,ARK SCHOOLS,Linked to a sponsor,ARK Schools,Not applicable,,,10024133.0,,Not applicable,05-10-2018,0,Not applicable,11-07-2019,Harper Road,,,London,,SE1 6AG,http://arkglobeacademy.org/,2074076877.0,Mr,Matt,Jones,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000028,Southwark,E05000537,Chaucer,E14000553,Bermondsey and Old Southwark,A1,Urban major conurbation,E09000028,532629.0,179134.0,,Southwark 006,Southwark 006D,,,,,,999,,,Good,South-East England and South London,,200003468849.0,,E02000812,E01003942,43.62513,14.369370000000002,532620.0,179140.0,532620.0,179140.0
34986,135600,304,Brent,6906.0,Ark Academy,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,30-09-2008,0,Not applicable,,7,All through,3.0,18.0,1,No boarders,Has Nursery Classes,1,Has a sixth form,3,Mixed,0,Does not apply,None,0000,Not applicable,4,Non-selective,1650.0,2,No Special Classes,17-01-2019,1561.0,777.0,784.0,17.4,3,Supported by a multi-academy trust,2157.0,ARK SCHOOLS,Linked to a sponsor,ARK Schools,Not applicable,,,10024211.0,,Not applicable,25-11-2010,0,Not applicable,11-07-2019,Forty Avenue,,,Wembley,Middlesex,HA9 9JR,www.arkacademy.org,2089085466.0,Ms,Delia,Smith,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000005,Brent,E05000086,Barnhill,E14000592,Brent North,A1,Urban major conurbation,E09000005,519303.0,186588.0,,Brent 009,Brent 009C,,,,,,999,,,Outstanding,North-West London and South-Central England,,202127066.0,,E02000101,E01000482,36.37563,13.25704,519300.0,186580.0,519300.0,186580.0
34997,135614,208,Lambeth,3643.0,Iqra Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,7,Former Independent,01-09-2008,0,Not applicable,,2,Primary,4.0,11.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,7,Muslim,Does not apply,0000,Not applicable,0,Not applicable,250.0,2,No Special Classes,17-01-2019,243.0,115.0,128.0,27.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10072333.0,,Not applicable,20-10-2017,0,Not applicable,11-07-2019,127 Park Hill,Off Clarence Avenue,Clapham,London,,SW4 9PA,www.iqra.lambeth.sch.uk/,2076223630.0,Mrs,H,Saleem,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000022,Lambeth,E05000418,Clapham Common,E14000978,Streatham,A1,Urban major conurbation,E09000022,529997.0,174534.0,,Lambeth 017,Lambeth 017A,,,,,,999,,,Outstanding,South-East England and South London,,200000476089.0,,E02000634,E01003029,38.16891,13.6569,530000.0,174540.0,530000.0,174540.0
35164,135811,306,Croydon,3419.0,Ecclesbourne Primary School,1,Community school,4,LA maintained schools,2,Closed,1,Result of Amalgamation,01-09-2009,10,Academy Converter,31-03-2011,2,Primary,3.0,11.0,9,,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,9999,,0,Not applicable,402.0,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,,,0,Not applicable,24-09-2015,Attlee Close,,,Thornton Heath,Surrey,CR7 7FA,,2086843187.0,Ms,Rian,Swain,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05000148,Bensham Manor,E14000655,Croydon North,A1,Urban major conurbation,E09000008,532135.0,167577.0,,Croydon 015,Croydon 015A,,,,,,999,,,,South-East England and South London,,10014056249.0,,E02000208,E01001004,32.26018,12.93184,532140.0,167580.0,532140.0,167580.0
35165,135812,311,Havering,2097.0,Crowlands Primary School,1,Community school,4,LA maintained schools,1,Open,1,Result of Amalgamation,06-04-2009,99,,,2,Primary,3.0,11.0,9,,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,720.0,0,Not applicable,17-01-2019,647.0,324.0,323.0,20.3,0,Not applicable,,,Not applicable,,Supported by a federation,17134,The Growing Together Federation,10070310.0,,Not applicable,20-03-2018,0,Not applicable,11-07-2019,London Road,,,Romford,,RM7 9EJ,http://www.crowlandsprimary.com/,1708743402.0,Mrs,Hayley,McClenaghan,Headteacher,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000016,Havering,E05000306,Brooklands,E14000900,Romford,A1,Urban major conurbation,E09000016,550109.0,188376.0,,Havering 017,Havering 017A,,,,,,999,,,Good,East of England and North-East London,,100023219561.0,,E02000480,E01002246,33.01186,12.793569999999999,550100.0,188380.0,550100.0,188380.0
35184,135831,313,Hounslow,2083.0,Bedfont Primary School,1,Community school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-01-2010,99,,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,678.0,2,No Special Classes,17-01-2019,653.0,332.0,321.0,20.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10070309.0,,Not applicable,05-06-2018,0,Not applicable,11-07-2019,Hatton Road,Bedfont,,London,,TW14 9QZ,www.bedfontprimary.co.uk/,2088904755.0,Mr,Gez,Davis,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000018,Hounslow,E05000346,Bedfont,E14000701,Feltham and Heston,A1,Urban major conurbation,E09000018,509086.0,174388.0,,Hounslow 022,Hounslow 022A,,,,,,999,,,Good,North-West London and South-Central England,,10091692085.0,,E02000547,E01002555,34.728429999999996,12.39898,509080.0,174380.0,509080.0,174380.0
35195,135843,209,Lewisham,5201.0,Prendergast Vale School,5,Foundation school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-09-2011,99,,,7,All through,3.0,16.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,Does not apply,0000,Not applicable,4,Non-selective,830.0,2,No Special Classes,17-01-2019,828.0,493.0,335.0,21.6,2,Not supported by a trust,,,Not applicable,,Supported by a federation,1794,Leatherseller's Federation of Schools,10035283.0,,Not applicable,31-01-2018,0,Not applicable,11-07-2019,Elmira Street,Lewisham,,London,,SE13 7BN,www.prendergast-vale.com,2082973540.0,Mr,Duncan,Kamya,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000023,Lewisham,E05000448,Lewisham Central,E14000789,"Lewisham, Deptford",A1,Urban major conurbation,E09000023,537905.0,175732.0,,Lewisham 012,Lewisham 012E,,,,,,999,,,Good,South-East England and South London,,100023236381.0,,E02000664,E01003296,37.24788,13.35987,537900.0,175740.0,537900.0,175740.0
35224,135873,320,Waltham Forest,6502.0,The Woodlands  Montessori Preparatory School,11,Other independent school,3,Independent schools,2,Closed,6,New Provision,21-04-2008,2,Closure,31-07-2013,0,Not applicable,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0000,Not applicable,0,Not applicable,40.0,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,,,0,Not applicable,09-07-2019,Drapers Fields Old Pavilion,,22 Gordon Road,Leyton,,E15 2DD,,7956051963.0,Mrs,Jane,Guven,Headteacher,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000031,Waltham Forest,E05000591,Cathall,E14000790,Leyton and Wanstead,A1,Urban major conurbation,E09000031,538332.0,185651.0,,Waltham Forest 026,Waltham Forest 026A,Ofsted,2.0,3.0,Does not have boarders,Mrs Jane Guven,999,,,,East of England and North-East London,,,,E02000920,E01004336,38.33941,13.634310000000001,538340.0,185660.0,538340.0,185660.0
35231,135880,313,Hounslow,3943.0,Chatsworth Primary School,1,Community school,4,LA maintained schools,1,Open,1,Result of Amalgamation,01-01-2010,99,,,2,Primary,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,738.0,2,No Special Classes,17-01-2019,730.0,377.0,353.0,7.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10079930.0,,Not applicable,06-03-2019,0,Not applicable,11-07-2019,Heath Road,,,Hounslow,,TW3 2NW,www.chatsworthprimaryschool.co.uk,2085606018.0,Mr,D,Wright,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000018,Hounslow,E05000360,Hounslow South,E14000593,Brentford and Isleworth,A1,Urban major conurbation,E09000018,514365.0,175245.0,,Hounslow 019,Hounslow 019C,,,,,,999,,,Good,North-West London and South-Central England,,200003968300.0,,E02000544,E01002655,33.45387,12.62134,514360.0,175240.0,514360.0,175240.0
